id,name,lat,lon,Meter No.,Connected to Cogen (Yes or No),Connected to DE (Yes or No)
25774609,Administration,37.33666412,-121.8828614,1,yes,yes
25774628,Art,37.33603716,-121.8796587,2,yes,yes
25774647,Art Foundry,37.32308465,-121.8746687,3,no,no
25774674,Automated Bank Teller Facility,37.33734721,-121.8797363,2,no,no
25774678,Associated Students House,37.337455,-121.8791501,2,yes,no
25774697,Bally Hut,37.32051547,-121.8689601,3,no,no
25774723,Baseball Batting Structure,37.32249294,-121.867882,1,no,no
25774724,Boccardo Business Classroom Building,37.33668418,-121.8785495,2,yes,yes
25774728,Business Tower,37.33707791,-121.8788422,3,yes,yes
25774740,Campus Village A,37.3344222,-121.8774689,1,yes,yes
25774741,Campus Village B,37.33502192,-121.8774662,,yes,yes
25774742,Campus Village C,37.33547004,-121.8782159,,yes,yes
25774754,Campus Village Garage,37.33490563,-121.8777985,,yes,no
25774755,Campus Village Phase 2,37.33498441,-121.878595,,,
25774762,CEFCU Stadium,37.31998935,-121.8683787,,,
25774763,Central Classroom Building,37.33565318,-121.8818794,,,
25774765,Central Plant,37.33609135,-121.8784332,,,
25774768,Computer Center,37.33595293,-121.8833308,,,
25774770,Concession Buildings,37.31957844,-121.8671747,,,
25774784,Corporation Yard Offices,37.33817864,-121.8802682,,,
25774796,Corporation Yard Trades Building,37.33807583,-121.8796449,,,
25774806,Dining Commons,37.33415021,-121.8785328,,,
25774831,Dudley Moorhead Hall,37.33646028,-121.8839772,,,
25775903,Duncan Hall,37.33265486,-121.8820248,,,
25780815,Dwight Bentel Hall,37.33512132,-121.8823487,,,
25790802,Engineering,37.33739673,-121.8815678,,,
45727207,Faculty Office Building,37.33463535,-121.8826093,,,
113102736,Field House,37.32257966,-121.8671493,,,
113102740,Health Building,37.33573136,-121.8791365,,,
165325828,Hugh Gillis Hall,37.33604472,-121.8845113,,,
165325830,Industrial Studies,37.33762175,-121.8806243,,,
165325831,Instructional Resource Center,37.33625132,-121.8835029,,,
165325833,Joe West Hall (Stu Res),37.33439229,-121.8781827,,,
165325835,Koret Center,37.32111518,-121.8701976,,,
165325837,MacQuarrie Hall,37.33355058,-121.8817932,,,
165325839,"Dr. Martin Luther King, Jr. Library",37.33544962,-121.8849783,,,
338597437,Modular A,37.33739909,-121.8794721,,,
357085071,Modular Building A,37.32217528,-121.8667896,,,
359270880,Modular B,37.33746038,-121.879389,,,
359270881,Modular Building B,37.32209345,-121.8665494,,,
359599135,Modular Building C,37.32073735,-121.8683399,,,
359599136,Modular F,37.33712911,-121.8795389,,,
363686744,Morris Dailey Auditorium,37.33530273,-121.8831399,,,
363686745,Music,37.33566133,-121.8807417,,,
363686837,North Parking Facility,37.33935978,-121.8806943,,,
363686838,President's House,37.33229515,-121.9306799,,,
363686841,Provident Credit Union Event Center,37.33519227,-121.880129,,,
363686842,Clark Hall,37.336204,-121.8825102,,,
363686843,Science,37.33475174,-121.8847503,,,
363686846,Simpkins Athletics Building,37.31853552,-121.8694079,,,
363686847,Simpkins Center Storage Building,37.3208355,-121.8702717,,,
363686848,Simpkins Stadium Center,37.32044345,-121.8694985,,,
363686849,Softball & Tennis Facility,37.32223921,-121.8676938,,,
363686850,South Parking Facility,37.33305121,-121.8807979,,,
363686851,Spartan Memorial,37.33423978,-121.8833313,,,
363686852,SPX Central,37.33421501,-121.8824328,,,
363686853,SPX East,37.33455977,-121.8817296,,,
363686855,Storage Building,37.32097855,-121.868096,,,
363686856,Spartan Recreation and Aquatic Center,37.33452571,-121.8798833,,,
363686857,Student Services Center,37.33915694,-121.8812005,,,
363686858,Student Union,37.33660512,-121.8804992,,,
363686859,Student Wellness Center,37.33485333,-121.8813539,,,
363686860,Sweeney Hall,37.33377123,-121.8808899,,,
363686861,Tower Hall,37.33525187,-121.8833802,,,
363686862,Training/Locker Facility,37.3205498,-121.8687706,,,
363686863,UPD Building,37.33349508,-121.880162,,,
363686864,Washburn Hall (Student Residence),37.33368211,-121.8793031,,,
363686865,Washington Square Hall,37.33420861,-121.8842672,,,
363686866,West Parking Facility,37.33230247,-121.8829298,,,
363686867,Yoshihiro Uchida Hall,37.33370974,-121.8836451,,,
363686868,Interdisciplinary Science Building,37.33303621,-121.8828124,,,
363686869,4th Street Building,37.34143964,-121.88978,,,
363686870,Child Development Center,37.33306612,-121.8777869,,,
371657119,Hammer Theater,37.33379418,-121.8864809,,,
371657255,International House,37.33588601,-121.8754735,,,
371657329,Moss Landing Marine Lab Aquaculture Facility,36.80086523,-121.788492,,,
371657352,Moss Landing Marine Lab Main Laboratory,36.79484774,-121.7875324,,,
371657413,Moss Landing Marine Lab Marine Operations,36.80428209,-121.7867451,,,
371657423,Moss Landing Marine Lab Pumphouse,36.80077933,-121.7885349,,,
371657484,Moss Landing Marine Lab Shop,36.79484774,-121.7875324,,,
371657545,Reid Hillview Airport,37.33618381,-121.8171703,,,
372094274,San Antonio Parking Lot,37.33765933,-121.8794425,,,
372243484,South Campus Parking Structure,37.32090837,-121.8655534,,,
372243485,Spartan Athletic Center,37.32004451,-121.8676551,,,
372243487,Tennis Complex,37.32147298,-121.8680864,,,
,,,,,,
,,,,,,
